C1,A1,action,strength,C1_afteraction,A1_afteraction
17.28,16.14,change A1 (A1 coarse),50.0,-6.105,13.08
-6.105,13.08,change A1 (A1 coarse),50.0,-20.95,16.73
2.167,13.31,change A1 (A1 coarse),50.0,1.043,12.88
2.562,10.71,change A1 (A1 coarse),50.0,0.5855,8.623
2.762,6.591,change A1 (A1 coarse),50.0,1.059,3.447
1.059,3.447,change A1 (A1 coarse),50.0,1.488,3.106
1.488,3.106,change A1 (A1 coarse),50.0,1.114,4.105
1.665,4.579,change A1 (A1 coarse),50.0,0.542,1.662
-2.425,43.3,change A1 (A1 coarse),50.0,-5.249,21.82
-5.249,21.82,change A1 (A1 coarse),50.0,-4.917,11.17
-4.917,11.17,change A1 (A1 coarse),50.0,-5.383,7.943
-5.383,7.943,change A1 (A1 coarse),50.0,-5.682,3.463
1.733,2.861,change A1 (A1 coarse),50.0,0.2677,1.849
0.5108,18.76,change A1 (A1 coarse),50.0,-2.084,11.0
-2.084,11.0,change A1 (A1 coarse),50.0,-0.8429,3.763
-0.8429,3.763,change A1 (A1 coarse),50.0,-0.3458,4.707
-0.3458,4.707,change A1 (A1 coarse),50.0,-0.485,2.105
-0.485,2.105,change A1 (A1 coarse),50.0,-1.389,1.426
-1.586,5.993,change A1 (A1 coarse),50.0,-0.7274,1.576
0.1978,10.87,change A1 (A1 coarse),50.0,-1.106,9.603
-1.011,6.515,change A1 (A1 coarse),50.0,-0.11750000000000001,4.317
-0.11750000000000001,4.317,change A1 (A1 coarse),50.0,-0.8833,0.3535
-3.134,6.658,change A1 (A1 coarse),50.0,-3.632,3.125
-0.3175,2.854,change A1 (A1 coarse),50.0,-0.3411,4.568
-1.054,2.957,change A1 (A1 coarse),50.0,0.4329,1.547
-3.18,11.52,change A1 (A1 coarse),50.0,-3.676,8.873
-3.676,8.873,change A1 (A1 coarse),50.0,-3.473,3.109
-3.473,3.109,change A1 (A1 coarse),50.0,-3.52,0.8425
-3.942,7.259,change A1 (A1 coarse),50.0,-3.625,5.745
-3.625,5.745,change A1 (A1 coarse),50.0,-3.534,3.22
-3.534,3.22,change A1 (A1 coarse),50.0,-4.445,1.508
-3.433,10.05,change A1 (A1 coarse),50.0,-3.246,7.647
-3.246,7.647,change A1 (A1 coarse),50.0,-2.814,3.063
-2.814,3.063,change A1 (A1 coarse),50.0,-3.658,2.467
-3.658,2.467,change A1 (A1 coarse),50.0,-3.958,2.886
-2.09,8.388,change A1 (A1 coarse),50.0,-1.877,5.85
-0.8849,3.56,change A1 (A1 coarse),50.0,-0.8272999999999999,3.334
-1.535,4.786,change A1 (A1 coarse),50.0,-2.258,1.446
-1.849,2.049,change A1 (A1 coarse),50.0,-1.188,1.514
0.3562,9.11,change A1 (A1 coarse),50.0,0.2677,5.898
-0.4789,5.142,change A1 (A1 coarse),50.0,0.112,5.055
0.31539999999999996,4.743,change A1 (A1 coarse),50.0,0.2066,2.637
0.1201,3.625,change A1 (A1 coarse),50.0,-0.08412,6.109
-0.4868,4.335,change A1 (A1 coarse),50.0,-0.6706000000000001,2.204
-1.61,11.11,change A1 (A1 coarse),50.0,-3.099,2.015
-1.181,8.682,change A1 (A1 coarse),50.0,-1.055,3.051
-2.498,5.307,change A1 (A1 coarse),50.0,-2.002,2.473
-2.376,2.875,change A1 (A1 coarse),50.0,-2.587,3.267
-2.467,3.366,change A1 (A1 coarse),50.0,-2.346,2.5
-2.346,2.5,change A1 (A1 coarse),50.0,-1.883,2.248
-2.902,4.193,change A1 (A1 coarse),50.0,-2.869,0.8703
-0.7988,6.38,change A1 (A1 coarse),50.0,-0.8909,1.669
-1.151,6.182,change A1 (A1 coarse),50.0,-1.647,3.026
-1.647,3.026,change A1 (A1 coarse),50.0,-2.233,2.381
-1.586,2.595,change A1 (A1 coarse),50.0,-1.144,1.582
-1.144,1.582,change A1 (A1 coarse),50.0,-2.063,1.596
0.847,8.286,change A1 (A1 coarse),50.0,0.7055,2.631
0.7055,2.631,change A1 (A1 coarse),50.0,0.338,1.548
-1.653,4.351,change A1 (A1 coarse),50.0,-1.049,0.7458
-18.97,57.06,change A1 (A1 coarse),50.0,-5.892,71.29
-5.892,71.29,change A1 (A1 coarse),50.0,31.21,79.91
31.21,79.91,change A1 (A1 coarse),50.0,-57.11,87.66
-57.11,87.66,change A1 (A1 coarse),50.0,24.29,87.33
24.29,87.33,change A1 (A1 coarse),50.0,3.702,43.0
3.702,43.0,change A1 (A1 coarse),50.0,-50.94,87.19
-50.94,87.19,change A1 (A1 coarse),50.0,75.97,159.4
75.97,159.4,change A1 (A1 coarse),50.0,50.14,101.2
50.14,101.2,change A1 (A1 coarse),50.0,53.15,105.2
53.15,105.2,change A1 (A1 coarse),50.0,-15.35,22.78
-15.35,22.78,change A1 (A1 coarse),50.0,14.9,67.53
14.9,67.53,change A1 (A1 coarse),50.0,15.74,90.37
2.042,85.71,change A1 (A1 coarse),50.0,1.213,56.57
1.213,56.57,change A1 (A1 coarse),50.0,-0.21380000000000002,37.16
-0.21380000000000002,37.16,change A1 (A1 coarse),50.0,-0.1042,21.32
-0.1042,21.32,change A1 (A1 coarse),50.0,-1.532,7.572
-1.532,7.572,change A1 (A1 coarse),50.0,-0.7259,7.374
-0.7259,7.374,change A1 (A1 coarse),50.0,-2.301,2.718
-2.301,2.718,change A1 (A1 coarse),50.0,-2.712,1.549
2.058,13.13,change A1 (A1 coarse),50.0,3.344,11.57
3.344,11.57,change A1 (A1 coarse),50.0,3.96,0.7597999999999999
3.196,2.453,change A1 (A1 coarse),50.0,0.1033,1.085
-2.466,4.285,change A1 (A1 coarse),50.0,-1.683,2.499
0.3531,3.665,change A1 (A1 coarse),50.0,1.029,3.894
0.231,1.156,change A1 (A1 coarse),50.0,1.121,0.9905
-16.16,17.01,change A1 (A1 coarse),50.0,-18.36,13.71
6.27,3.988,change A1 (A1 coarse),50.0,5.703,2.535
0.988,2.54,change A1 (A1 coarse),50.0,0.1705,2.91
0.1705,2.91,change A1 (A1 coarse),50.0,0.9131,1.254
0.8347000000000001,3.227,change A1 (A1 coarse),50.0,0.8755000000000001,2.875
0.8755000000000001,2.875,change A1 (A1 coarse),50.0,0.4207,2.333
0.2982,2.641,change A1 (A1 coarse),50.0,2.47,0.218
0.38010000000000005,2.626,change A1 (A1 coarse),50.0,1.064,2.264
0.3659,3.332,change A1 (A1 coarse),50.0,0.9717000000000001,2.196
0.5601,3.165,change A1 (A1 coarse),50.0,0.8284,2.409
0.8284,2.409,change A1 (A1 coarse),50.0,0.6545,1.87
1.755,3.355,change A1 (A1 coarse),50.0,1.36,2.2
1.422,2.651,change A1 (A1 coarse),50.0,1.419,2.118
0.4561,3.105,change A1 (A1 coarse),50.0,1.884,0.9928
0.9638,1.211,change A1 (A1 coarse),50.0,1.514,0.6407999999999999
0.5577000000000001,3.389,change A1 (A1 coarse),50.0,0.3476,0.8844
0.8242999999999999,1.563,change A1 (A1 coarse),50.0,0.5734,2.198
-0.07113,4.261,change A1 (A1 coarse),50.0,0.2031,2.422
0.2031,2.422,change A1 (A1 coarse),50.0,0.6405,1.992
0.3551,2.304,change A1 (A1 coarse),50.0,0.16440000000000002,1.612
-2.479,4.299,change A1 (A1 coarse),50.0,-0.9561000000000001,2.566
-1.647,2.809,change A1 (A1 coarse),50.0,-1.062,1.689
-1.062,1.689,change A1 (A1 coarse),50.0,-1.217,1.298
