C1,A1,action,strength,C1_afteraction,A1_afteraction
-23.87,41.95,change C1,-41.42999999999999,-65.3,39.43
-65.3,39.43,change C1,53.849999999999994,-11.45,43.53
-11.45,43.53,change C1,30.48,19.03,41.53
19.03,41.53,change C1,-2.120000000000001,16.91,42.97
16.91,42.97,change C1,0.5300000000000011,17.44,43.14
17.44,43.14,change C1,12.5,29.94,41.35
29.94,41.35,change C1,-1.0899999999999999,28.85,43.43
28.85,43.43,change C1,-0.08999999999999986,28.76,41.42
28.76,41.42,change C1,-0.8200000000000003,27.94,40.88
25.05,8.61,change C1,-19.584,5.466,4.909
5.466,4.909,change C1,-30.756,-25.29,8.141
-25.29,8.141,change C1,-2.3500000000000014,-27.64,5.49
-27.71,3.382,change C1,5.66,-22.05,3.413
-22.05,3.413,change C1,7.98,-14.07,3.884
-14.07,3.884,change C1,13.2997,-0.7703,2.638
-0.7703,2.638,change C1,-1.1757,-1.946,1.824
-1.946,1.824,change C1,3.377,1.431,1.412
1.431,1.412,change C1,2.135,3.566,1.548
3.566,1.548,change C1,2.423,5.989,0.6582
5.989,0.6582,change C1,-9.178,-3.189,1.682
-3.189,1.682,change C1,1.02,-2.169,0.1156
-2.169,0.1156,change C1,0.488,-1.681,2.267
-1.681,2.267,change C1,0.17600000000000016,-1.505,1.626
-1.505,1.626,change C1,-0.026000000000000023,-1.531,1.341
-1.531,1.341,change C1,-0.29600000000000004,-1.827,0.3579
-1.827,0.3579,change C1,-0.875,-2.702,1.656
-2.702,1.656,change C1,0.6360000000000001,-2.066,1.156
17.7,7.184,change C1,-4.279999999999999,13.42,9.427
13.42,9.427,change C1,-9.586,3.834,7.017
3.834,7.017,change C1,-24.514,-20.68,6.463
-20.68,6.463,change C1,4.859999999999999,-15.82,7.005
-15.82,7.005,change C1,15.5356,-0.2844,6.742
-0.8589,0.8469,change C1,-0.32509999999999994,-1.184,0.2848
-1.184,0.2848,change C1,-0.8819999999999999,-2.066,0.09176000000000001
-2.066,0.09176000000000001,change C1,7.093,5.027,2.363
5.027,2.363,change C1,-8.505,-3.478,0.31889999999999996
-3.478,0.31889999999999996,change C1,-0.6179999999999999,-4.096,1.325
-4.096,1.325,change C1,1.931,-2.165,0.9083
-2.274,8.742,change C1,1.127,-1.147,9.063
-1.147,9.063,change C1,0.46110000000000007,-0.6859,9.733
-3.652,4.487,change C1,2.191,-1.461,5.983
-1.461,5.983,change C1,1.2507000000000001,-0.21030000000000001,2.19
-0.21030000000000001,2.19,change C1,-0.46740000000000004,-0.6777000000000001,0.9117999999999999
-0.6777000000000001,0.9117999999999999,change C1,-1.4642999999999997,-2.142,0.3472
-18.41,11.79,change C1,0.2699999999999996,-18.14,9.97
-18.14,9.97,change C1,0.4400000000000013,-17.7,9.871
-15.24,1.871,change C1,0.09999999999999964,-15.14,1.875
-15.14,1.875,change C1,0.9400000000000013,-14.2,2.841
-14.2,2.841,change C1,4.18,-10.02,2.633
-10.02,2.633,change C1,-2.49,-12.51,3.661
-12.51,3.661,change C1,1.6600000000000001,-10.85,3.464
-10.85,3.464,change C1,-1.1400000000000006,-11.99,4.508
-11.99,4.508,change C1,2.6479999999999997,-9.342,3.131
-9.342,3.131,change C1,-1.6879999999999988,-11.03,2.784
-11.03,2.784,change C1,4.249999999999999,-6.78,2.423
-6.78,2.423,change C1,-0.42300000000000004,-7.203,1.351
-7.203,1.351,change C1,1.6910000000000007,-5.512,1.922
-7.38,3.027,change C1,17.96,10.58,3.578
10.58,3.578,change C1,-7.114,3.466,2.396
3.466,2.396,change C1,-20.316000000000003,-16.85,3.66
-16.85,3.66,change C1,12.533000000000001,-4.317,2.762
-4.317,2.762,change C1,0.23599999999999977,-4.081,3.414
-4.081,3.414,change C1,-0.10099999999999998,-4.182,3.269
-4.182,3.269,change C1,-0.30799999999999983,-4.49,3.45
-4.49,3.45,change C1,0.6240000000000001,-3.866,2.961
-3.866,2.961,change C1,0.30100000000000016,-3.565,2.724
-3.565,2.724,change C1,-0.9499999999999997,-4.515,2.166
-4.515,2.166,change C1,8.134,3.619,3.235
3.619,3.235,change C1,-8.064,-4.445,2.614
-4.445,2.614,change C1,4.47606,0.03106,2.714
0.03106,2.714,change C1,0.86934,0.9004,3.176
0.9004,3.176,change C1,-0.07839999999999991,0.8220000000000001,0.7293999999999999
0.8220000000000001,0.7293999999999999,change C1,-0.6456000000000001,0.1764,1.554
0.1764,1.554,change C1,-0.6354,-0.459,0.9819
0.1676,1.578,change C1,-0.175631,-0.008031,0.6495
-0.008031,0.6495,change C1,0.152431,0.1444,0.7594
-4.53,1.911,change C1,-0.3849999999999998,-4.915,0.8909
-4.915,0.8909,change C1,13.16,8.245,0.6976
8.245,0.6976,change C1,-1.5149999999999988,6.73,2.858
6.73,2.858,change C1,-6.504700000000001,0.22530000000000003,1.967
0.22530000000000003,1.967,change C1,-3.2893,-3.064,0.9208
-3.138,1.821,change C1,6.346,3.208,1.232
3.208,1.232,change C1,-3.285,-0.077,1.476
-0.077,1.476,change C1,-0.07590000000000001,-0.1529,0.6596000000000001
-0.1529,0.6596000000000001,change C1,0.8291000000000001,0.6762,0.8731
0.6762,0.8731,change C1,-0.2951,0.38110000000000005,0.2939
-0.9376,1.045,change C1,0.2388999999999999,-0.6987000000000001,0.9
-0.6987000000000001,0.9,change C1,0.42890000000000006,-0.26980000000000004,1.15
-0.26980000000000004,1.15,change C1,-0.47309999999999997,-0.7429,2.238
-0.7429,2.238,change C1,29.5229,28.78,1.838
28.78,1.838,change C1,-6.510000000000002,22.27,1.285
22.27,1.285,change C1,-18.948,3.322,2.024
3.322,2.024,change C1,-2.8151,0.5069,1.43
0.5069,1.43,change C1,-0.20390000000000003,0.303,1.872
0.303,1.872,change C1,0.16100000000000003,0.464,0.31710000000000005
0.464,0.31710000000000005,change C1,0.9910000000000001,1.455,2.217
1.455,2.217,change C1,-0.08000000000000007,1.375,1.619
1.375,1.619,change C1,-1.39035,-0.01535,3.01
-0.01535,3.01,change C1,-2.83765,-2.853,1.679
-7.745,4.199,change C1,-0.24300000000000033,-7.988,3.769
-7.988,3.769,change C1,-4.601999999999999,-12.59,3.146
-12.59,3.146,change C1,-0.3100000000000005,-12.9,4.064
-12.9,4.064,change C1,0.7300000000000004,-12.17,4.077
-12.17,4.077,change C1,0.28999999999999915,-11.88,3.701
-11.88,3.701,change C1,1.3800000000000008,-10.5,5.064
-10.5,5.064,change C1,1.1319999999999997,-9.368,4.27
-9.368,4.27,change C1,-0.9019999999999992,-10.27,4.828
-10.27,4.828,change C1,2.5519999999999996,-7.718,4.112
-8.292,1.729,change C1,2.6079999999999997,-5.684,2.407
-5.684,2.407,change C1,1.4969999999999999,-4.187,2.706
-4.187,2.706,change C1,2.963,-1.224,2.869
-1.224,2.869,change C1,0.49829999999999997,-0.7257,2.905
-0.6025,1.848,change C1,0.29960000000000003,-0.3029,2.143
-9.611,12.75,change C1,0.1800000000000015,-9.431,12.94
-9.431,12.94,change C1,0.7099999999999991,-8.721,12.93
-8.909,10.2,change C1,4.920000000000001,-3.989,4.038
-3.989,4.038,change C1,0.43599999999999994,-3.553,4.423
-3.553,4.423,change C1,1.9,-1.653,4.389
-1.653,4.389,change C1,0.639,-1.014,4.503
-1.014,4.503,change C1,0.6786000000000001,-0.3354,4.623
0.5670000000000001,2.431,change C1,-1.0851000000000002,-0.5181,2.664
0.8290000000000001,3.32,change C1,0.2679999999999999,1.097,2.501
1.097,2.501,change C1,-0.4867,0.6103,4.078
-1.218,1.625,change C1,0.7253999999999999,-0.49260000000000004,4.368
-0.49260000000000004,4.368,change C1,0.3265,-0.1661,4.383
-0.1661,4.383,change C1,-0.8459,-1.012,3.966
-0.9409,3.875,change C1,0.08969999999999989,-0.8512000000000001,4.425
0.9868,4.998,change C1,-0.7268,0.26,4.977
-1.119,3.761,change C1,0.5213,-0.5977,4.494
0.8745,4.722,change C1,-0.4872,0.38730000000000003,5.313
-0.7414,0.728,change C1,-0.7286,-1.47,3.692
-1.47,3.692,change C1,0.5962999999999999,-0.8737,3.564
-1.12,4.535,change C1,-0.09099999999999997,-1.211,4.295
-2.707,17.04,change C1,-0.01100000000000012,-2.718,16.68
0.9555,2.965,change C1,-1.0565,-0.101,3.077
-0.101,3.077,change C1,-0.22239999999999996,-0.32339999999999997,2.607
0.2706,1.244,change C1,-0.34725,-0.07665000000000001,1.228
-4.547,4.047,change C1,0.45899999999999963,-4.088,2.706
-4.088,2.706,change C1,0.4540000000000002,-3.634,2.45
-3.634,2.45,change C1,0.0259999999999998,-3.608,3.36
-3.608,3.36,change C1,1.322,-2.286,2.569
-2.286,2.569,change C1,0.2549999999999999,-2.031,3.12
-2.031,3.12,change C1,0.6190000000000002,-1.412,2.458
-1.412,2.458,change C1,0.2889999999999999,-1.123,2.602
-1.123,2.602,change C1,0.03699999999999992,-1.086,3.055
-1.086,3.055,change C1,0.5050000000000001,-0.581,3.078
-0.8425,10.32,change C1,0.7798,-0.0627,8.668
1.243,4.992,change C1,0.20999999999999996,1.453,2.091
1.054,1.651,change C1,0.09899999999999998,1.153,1.823
1.419,1.957,change C1,-0.7191000000000001,0.6999,1.905
1.043,1.816,change C1,-0.1430999999999999,0.8999,1.489
0.8999,1.489,change C1,0.07639999999999991,0.9763,2.132
1.214,2.508,change C1,-0.24249999999999994,0.9715,1.589
1.064,3.546,change C1,0.35399999999999987,1.418,2.808
-0.9376,2.482,change C1,0.6924,-0.2452,1.849
1.873,8.538,change C1,-0.19700000000000006,1.676,8.745
1.676,8.745,change C1,-0.03200000000000003,1.644,8.114
1.644,8.114,change C1,-0.254,1.39,8.049
2.276,0.9174,change C1,-0.3039999999999998,1.972,0.658
1.972,0.658,change C1,-0.06499999999999995,1.907,0.7030000000000001
1.907,0.7030000000000001,change C1,-0.353,1.554,1.07
1.554,1.07,change C1,-0.276,1.278,1.218
1.278,1.218,change C1,0.47,1.748,0.7821
1.748,0.7821,change C1,-1.0267,0.7212999999999999,0.4699
-0.8424,4.582,change C1,1.3961000000000001,0.5537000000000001,1.695
-1.316,0.9332,change C1,-0.139,-1.455,1.065
-1.455,1.065,change C1,0.369,-1.086,0.6911
-0.13130000000000003,1.572,change C1,-0.3957,-0.527,1.368
-0.527,1.368,change C1,-0.021499999999999964,-0.5485,1.362
-3.248,2.386,change C1,-0.03999999999999959,-3.288,2.554
-2.063,2.137,change C1,-0.20399999999999974,-2.267,2.548
-2.267,2.548,change C1,0.08299999999999974,-2.184,2.889
-1.671,2.686,change C1,-0.9149999999999998,-2.586,1.957
-2.586,1.957,change C1,-0.15100000000000025,-2.737,2.738
-2.737,2.738,change C1,0.5270000000000001,-2.21,1.545
-2.21,1.545,change C1,0.03399999999999981,-2.176,2.624
-2.176,2.624,change C1,0.27000000000000024,-1.906,1.952
-1.906,1.952,change C1,0.2889999999999999,-1.617,1.733
-1.617,1.733,change C1,0.381,-1.236,2.102
-1.236,2.102,change C1,0.07800000000000007,-1.158,2.043
-1.158,2.043,change C1,0.5805999999999999,-0.5774,1.822
0.488,1.221,change C1,-0.05739999999999995,0.43060000000000004,2.01
-0.1547,2.04,change C1,0.4127,0.258,2.208
-0.05798,1.362,change C1,-0.15102,-0.209,1.355
-0.209,1.355,change C1,0.12095999999999998,-0.08804000000000001,1.715
-2.373,3.559,change C1,-0.5119999999999996,-2.885,3.377
-2.885,3.377,change C1,-0.05300000000000038,-2.938,3.445
-2.938,3.445,change C1,0.786,-2.152,4.121
-2.152,4.121,change C1,0.5250000000000001,-1.627,3.359
-1.627,3.359,change C1,-0.04200000000000004,-1.669,3.771
-1.669,3.771,change C1,0.567,-1.102,3.737
-1.102,3.737,change C1,1.0155100000000001,-0.08649,4.12
-0.08649,4.12,change C1,-0.42251,-0.509,3.89
-1.127,0.9732999999999999,change C1,0.354,-0.773,1.223
-3.853,3.715,change C1,0.15900000000000025,-3.694,3.725
-3.694,3.725,change C1,0.4889999999999999,-3.205,3.682
-3.205,3.682,change C1,1.061,-2.144,4.04
-2.599,3.466,change C1,-0.1499999999999999,-2.749,1.706
-2.749,1.706,change C1,0.8860000000000001,-1.863,2.57
-1.863,2.57,change C1,1.4272,-0.4358,2.194
-0.5306000000000001,2.252,change C1,0.2366000000000001,-0.294,1.343
-0.294,1.343,change C1,0.004699999999999982,-0.2893,2.19
-0.2893,2.19,change C1,-0.5545,-0.8438,2.077
-0.8438,2.077,change C1,0.8955,0.0517,2.227
0.0517,2.227,change C1,-0.6115999999999999,-0.5599,2.362
-21.57,11.08,change C1,0.019999999999999574,-21.55,10.66
-21.55,10.66,change C1,0.10000000000000142,-21.45,10.67
-21.45,10.67,change C1,0.34999999999999787,-21.1,11.0
-21.1,11.0,change C1,0.11000000000000298,-20.99,10.91
-20.99,10.91,change C1,-0.6700000000000017,-21.66,10.72
-21.39,9.412,change C1,8.92,-12.47,3.004
-12.47,3.004,change C1,4.182,-8.288,2.401
-8.288,2.401,change C1,1.0990000000000002,-7.189,2.41
