#{"t_start": 1773881422.0539432, "env_id": "None"}
r,l,t
113.04184,66,70.931304
79.64949,35,70.93415
116.256325,39,70.936661
66.424194,44,70.937275
133.44466,6,70.937286
76.72345,19,70.940726
67.62967,34,70.941367
48.117565,33,70.943796
60.234955,9,70.945305
124.88043,49,70.94685
96.42576,11,70.946861
65.83375,4,70.948878
26.346367,9,70.950026
117.66873,38,70.956167
110.3638,42,70.957776
74.851555,22,70.95779
85.704124,15,70.963378
62.696796,40,70.963388
47.827408,70,70.971304
123.13277,34,70.973869
85.793,50,70.973879
109.356224,101,70.976792
120.17518,40,70.977392
94.469124,30,70.978399
127.95741,35,70.980816
111.298225,16,70.985059
101.772354,28,70.988003
87.669525,81,70.988615
48.705185,12,70.991109
102.59819,24,70.992636
101.87865,46,70.994573
122.26772,44,70.996795
76.70345,4,70.997376
43.693413,13,70.999955
118.314354,23,71.001062
97.45031,27,73.295001
83.931305,25,73.299141
116.290016,14,73.302165
32.95498,32,73.303255
28.792337,5,73.304978
117.584335,75,73.30732
93.936104,7,73.308009
93.61503,16,73.308687
144.92116,39,73.310602
16.928339,38,73.311588
67.9939,11,73.314019
63.19622,15,73.314034
106.00266,18,73.316944
41.755836,16,73.318916
39.673534,12,73.319991
116.407265,80,73.32068
112.35061,109,73.323729
98.32816,9,73.325533
55.52911,14,73.326786
47.722324,37,73.328526
41.523052,11,73.334479
29.176073,22,73.336188
23.682678,31,73.337438
37.33735,21,73.337452
45.778103,21,73.338651
115.881386,44,73.3414
133.06802,50,73.341419
12.080331,19,73.347583
107.43946,22,73.348324
24.71757,26,73.354989
126.575424,47,73.362086
107.40353,59,73.371342
44.604897,66,73.372431
101.61286,53,73.374431
23.006197,7,73.375152
37.49128,79,73.375818
43.23376,49,73.379561
120.96406,141,73.38488
90.91082,56,73.390507
94.73719,37,73.391554
88.1895,22,73.396185
94.86163,44,73.397233
137.73828,48,73.399956
66.02695,103,73.400605
86.8397,29,73.405488
90.78624,52,73.406528
102.64148,20,73.410273
106.839836,27,73.410284
110.56286,27,73.411348
46.925873,40,73.411935
37.085697,4,73.413414
113.927895,9,73.414937
123.27028,20,73.416451
76.623634,6,73.419555
22.379007,18,73.42105
89.33622,42,73.422181
79.90436,20,73.423728
88.370575,19,73.424809
82.64465,15,75.895977
5.486664,1,75.896691
87.01971,21,75.900431
84.529205,21,75.90205
87.69189,58,75.902722
66.61056,49,75.903359
109.302345,42,75.908633
59.806442,25,75.909706
71.783775,21,75.911642
115.5646,18,75.911656
53.13429,18,75.912537
117.04181,19,75.920585
123.31395,37,75.921649
30.503777,6,75.923597
61.79668,161,75.924201
28.06874,38,75.927405
40.768955,52,75.936381
157.5349,97,75.940132
57.013027,64,75.940728
48.752296,38,75.942224
97.03522,35,75.944548
89.87544,71,75.946549
90.59242,48,75.947175
79.36037,17,75.950871
52.747562,15,75.953734
44.225346,36,75.9584
31.664751,16,75.958413
116.96625,29,75.96081
83.36088,19,75.967236
92.84847,102,75.970515
31.29401,23,75.971592
44.15739,14,75.977141
83.37921,13,75.977751
28.02054,44,75.979252
137.13591,89,75.983031
47.914497,42,75.987162
110.950264,118,75.99277
107.896866,22,75.993394
82.54456,85,75.994031
69.40678,19,75.996353
64.94666,25,76.004743
99.18394,58,76.00477
77.304794,25,76.005413
55.452496,68,76.011357
