t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after
41352,4,90,57,3,23,A1,pct_button,50,,,4.1006198787689225,False,False,False,-5.2418532371521,-16.183252334594727,17.304704666137695,4.514977931976318
41360,4,90,58,10,38,C1,pct_button,30,,,0.7506391763687128,False,False,False,-16.183252334594727,-17.549781799316406,4.514977931976318,2.973360300064087
41368,4,90,59,11,39,C1,pct_button,50,,,13.933004302978516,False,False,False,-17.549781799316406,-9.14984130859375,2.973360300064087,4.538683891296387
41376,4,90,60,9,37,C1,pct_button,20,,,-1.5144890117645267,False,False,False,-9.14984130859375,-7.911412239074707,4.538683891296387,6.6752238273620605
41384,4,90,61,7,35,C1,pct_button,10,,,-0.2218825340271009,False,False,False,-7.911412239074707,-7.2536163330078125,6.6752238273620605,7.587370872497559
41392,4,90,62,9,37,C1,pct_button,20,,,9.21869257926941,False,False,False,-7.2536163330078125,-4.6738433837890625,7.587370872497559,5.656096935272217
41400,4,90,63,0,20,A1,pct_button,10,,,0.1965988063812263,False,False,False,-4.6738433837890625,-4.6738433837890625,5.656096935272217,5.656096935272217
41408,4,90,64,3,23,A1,pct_button,50,,,0.1965988063812263,False,False,False,-4.6738433837890625,-4.6738433837890625,5.656096935272217,5.656096935272217
41416,4,90,65,0,20,A1,pct_button,10,,,5.784481754302979,False,False,False,-4.6738433837890625,-3.315382480621338,5.656096935272217,4.192394733428955
41424,4,90,66,11,39,C1,pct_button,50,,,-16.227954416275026,False,False,False,-3.315382480621338,-9.074658393859863,4.192394733428955,6.699841022491455
41432,4,90,67,2,22,A1,pct_button,30,,,-14.253123664855957,False,False,False,-9.074658393859863,-13.786051750183105,6.699841022491455,9.341282844543457
41440,4,90,68,7,35,C1,pct_button,10,,,1.656308879852295,False,False,False,-13.786051750183105,-12.743127822875977,9.341282844543457,9.776246070861816
41448,4,90,69,11,39,C1,pct_button,50,,,0.44038747787475585,False,False,False,-12.743127822875977,-12.743127822875977,9.776246070861816,9.776246070861816
41456,4,90,70,11,39,C1,pct_button,50,,,0.44038747787475585,False,False,False,-12.743127822875977,-12.743127822875977,9.776246070861816,9.776246070861816
41464,4,90,71,8,36,C1,pct_button,15,,,3.281814823150638,False,False,False,-12.743127822875977,-11.933446884155273,9.776246070861816,9.150862693786621
41472,4,90,72,11,39,C1,pct_button,50,,,44.685804244279865,True,True,False,-11.933446884155273,15.508646011352539,9.150862693786621,5.092801570892334
